cores,m,k,n,time,GFLOPS
30,10000,10000,10000,1.376542,1452.916288
30,10000,10000,10000,1.381660,1447.534582
31,10000,10000,10000,1.363456,1466.861189
31,10000,10000,10000,1.365932,1464.201975
31,10000,10000,10000,1.384406,1444.663071
31,10000,10000,10000,1.374139,1455.457090
31,10000,10000,10000,1.378474,1450.879842
32,10000,10000,10000,1.283769,1557.912287
32,10000,10000,10000,1.260773,1586.328935
32,10000,10000,10000,1.282942,1558.917302
32,10000,10000,10000,1.276119,1567.251374
32,10000,10000,10000,1.278416,1564.435872
33,10000,10000,10000,1.308431,1528.548557
33,10000,10000,10000,1.268440,1576.739826
33,10000,10000,10000,1.291834,1548.186886
33,10000,10000,10000,1.286048,1555.152339
33,10000,10000,10000,1.296105,1543.085138
34,10000,10000,10000,1.232993,1622.069357
34,10000,10000,10000,1.237476,1616.192530
34,10000,10000,10000,1.250991,1598.732311
34,10000,10000,10000,1.251534,1598.039077
34,10000,10000,10000,1.251725,1597.795518
35,10000,10000,10000,1.200360,1666.166700
35,10000,10000,10000,1.206672,1657.451811
35,10000,10000,10000,1.188317,1683.052633
35,10000,10000,10000,1.212138,1649.977213
35,10000,10000,10000,1.207218,1656.700952
36,10000,10000,10000,1.221154,1637.795480
36,10000,10000,10000,1.212315,1649.736461
36,10000,10000,10000,1.206163,1658.150526
36,10000,10000,10000,1.202085,1663.775308
36,10000,10000,10000,1.219083,1640.576736
37,10000,10000,10000,1.195290,1673.233629
37,10000,10000,10000,1.195421,1673.050638
37,10000,10000,10000,1.193718,1675.437651
37,10000,10000,10000,1.192023,1677.819446
37,10000,10000,10000,1.190228,1680.349814
38,10000,10000,10000,1.170458,1708.733021
38,10000,10000,10000,1.148187,1741.876113
38,10000,10000,10000,1.138828,1756.191803
38,10000,10000,10000,1.163175,1719.432338
38,10000,10000,10000,1.157362,1728.067448
39,10000,10000,10000,1.134947,1762.197384
39,10000,10000,10000,1.135987,1760.582801
39,10000,10000,10000,1.127062,1774.526048
39,10000,10000,10000,1.138682,1756.417248
39,10000,10000,10000,1.138523,1756.661575
40,10000,10000,10000,1.084691,1843.843541
40,10000,10000,10000,1.093267,1829.379129
40,10000,10000,10000,1.103723,1812.049177
40,10000,10000,10000,1.107584,1805.731886
40,10000,10000,10000,1.108372,1804.447527
41,10000,10000,10000,1.106804,1807.004341
41,10000,10000,10000,1.095275,1826.025201
41,10000,10000,10000,1.117322,1789.994668
41,10000,10000,10000,1.119995,1785.722379
41,10000,10000,10000,1.110961,1800.242962
42,10000,10000,10000,1.078460,1854.495891
42,10000,10000,10000,1.076113,1858.540389
42,10000,10000,10000,1.073079,1863.796011
42,10000,10000,10000,1.076291,1858.233285
42,10000,10000,10000,1.083666,1845.586458
43,10000,10000,10000,1.078329,1854.720901
43,10000,10000,10000,1.082189,1848.105265
43,10000,10000,10000,1.083250,1846.296496
43,10000,10000,10000,1.077768,1855.687761
43,10000,10000,10000,1.081314,1849.602318
44,10000,10000,10000,1.029128,1943.393038
44,10000,10000,10000,1.028331,1944.898654
44,10000,10000,10000,1.026745,1947.903085
44,10000,10000,10000,1.015985,1968.533496
44,10000,10000,10000,1.012699,1974.920769
45,10000,10000,10000,1.005426,1989.205760
45,10000,10000,10000,1.002465,1995.082085
45,10000,10000,10000,1.003317,1993.387489
45,10000,10000,10000,1.004112,1991.810450
45,10000,10000,10000,1.006972,1986.152625
46,10000,10000,10000,1.006048,1987.977345
46,10000,10000,10000,0.982220,2036.203704
46,10000,10000,10000,1.001442,1997.119241
46,10000,10000,10000,0.992488,2015.136878
46,10000,10000,10000,1.005370,1989.318149
47,10000,10000,10000,1.029113,1943.421844
47,10000,10000,10000,1.018639,1963.404072
47,10000,10000,10000,1.022940,1955.149661
47,10000,10000,10000,1.033551,1935.077161
47,10000,10000,10000,1.035295,1931.816748
48,10000,10000,10000,0.970619,2060.539754
48,10000,10000,10000,0.961141,2080.860952
48,10000,10000,10000,0.972085,2057.433480
48,10000,10000,10000,0.953759,2096.965624
48,10000,10000,10000,0.963940,2074.818837
49,10000,10000,10000,0.958804,2085.931787
49,10000,10000,10000,0.957220,2089.382915
49,10000,10000,10000,0.967575,2067.023348
49,10000,10000,10000,0.962613,2077.678671
49,10000,10000,10000,0.968740,2064.536445
50,10000,10000,10000,0.970880,2059.987056
50,10000,10000,10000,0.958426,2086.754289
50,10000,10000,10000,0.968751,2064.513983
50,10000,10000,10000,0.960766,2081.673153
50,10000,10000,10000,0.955302,2093.579786
51,10000,10000,10000,0.906547,2206.172392
51,10000,10000,10000,0.940045,2127.558624
51,10000,10000,10000,0.935095,2138.820543
51,10000,10000,10000,0.937567,2133.179835
51,10000,10000,10000,0.923871,2164.804684
52,10000,10000,10000,0.917303,2180.304290
52,10000,10000,10000,0.906347,2206.660200
52,10000,10000,10000,0.932036,2145.839526
52,10000,10000,10000,0.910254,2197.189889
52,10000,10000,10000,0.913273,2189.925455
53,10000,10000,10000,0.946090,2113.964648
53,10000,10000,10000,0.917013,2180.993756
53,10000,10000,10000,0.911710,2193.680056
53,10000,10000,10000,0.917465,2179.918957
53,10000,10000,10000,0.911167,2194.988377
54,10000,10000,10000,0.907203,2204.578833
54,10000,10000,10000,0.903748,2213.006807
54,10000,10000,10000,0.901593,2218.295132
54,10000,10000,10000,0.888173,2251.813973
54,10000,10000,10000,0.904727,2210.611545
55,10000,10000,10000,0.894744,2235.277450
55,10000,10000,10000,0.902570,2215.894119
55,10000,10000,10000,0.898156,2226.783576
55,10000,10000,10000,0.901638,2218.184355
55,10000,10000,10000,0.891002,2244.663709
56,10000,10000,10000,0.901515,2218.487760
56,10000,10000,10000,0.886610,2255.782051
56,10000,10000,10000,0.893671,2237.959156
56,10000,10000,10000,0.889796,2247.706064
56,10000,10000,10000,0.900093,2221.991602
57,10000,10000,10000,0.875239,2285.089443
57,10000,10000,10000,0.892673,2240.462889
57,10000,10000,10000,0.881703,2268.336287
57,10000,10000,10000,0.890040,2247.089650
57,10000,10000,10000,0.875098,2285.458367
58,10000,10000,10000,0.848383,2357.424749
58,10000,10000,10000,0.866801,2307.334021
58,10000,10000,10000,0.855719,2337.217007
58,10000,10000,10000,0.855987,2336.483664
58,10000,10000,10000,0.859849,2325.990607
59,10000,10000,10000,0.862021,2320.127975
59,10000,10000,10000,0.887537,2253.426902
