m,k,n,time,GFLOPS
16000,16000,16000,3.303317,2479.931797
16000,16000,16000,3.300712,2481.888467
16000,16000,16000,3.317436,2469.376956
16000,16000,16000,3.390552,2416.126040
16000,16000,16000,3.271376,2504.145308
16000,16000,16000,3.289017,2490.713529
16000,16000,16000,3.296078,2485.378175
16000,16000,16000,3.299679,2482.665876
16000,16000,16000,3.285745,2493.194201
16000,16000,16000,3.274830,2501.503659
17000,17000,17000,3.883836,2529.972841
17000,17000,17000,3.868605,2539.933685
17000,17000,17000,3.887741,2527.431852
17000,17000,17000,3.911441,2512.117505
17000,17000,17000,4.000769,2456.027729
17000,17000,17000,3.848820,2552.990139
17000,17000,17000,3.930533,2499.915510
17000,17000,17000,4.198777,2340.205067
17000,17000,17000,3.964430,2478.540221
17000,17000,17000,3.874266,2536.222346
18000,18000,18000,4.668370,2498.516445
18000,18000,18000,4.499107,2592.514572
18000,18000,18000,4.526888,2576.604677
18000,18000,18000,4.531320,2574.084515
18000,18000,18000,4.580710,2546.330021
18000,18000,18000,4.487939,2598.965693
18000,18000,18000,4.548063,2564.608477
18000,18000,18000,4.656014,2505.146998
18000,18000,18000,4.586146,2543.312178
18000,18000,18000,4.558762,2558.589634
19000,19000,19000,5.465112,2510.104290
19000,19000,19000,5.309276,2583.779614
19000,19000,19000,5.278284,2598.950588
19000,19000,19000,5.354775,2561.825427
19000,19000,19000,5.270663,2602.708600
19000,19000,19000,5.280264,2597.975991
19000,19000,19000,5.271160,2602.463289
19000,19000,19000,5.311143,2582.871292
19000,19000,19000,5.279814,2598.197655
19000,19000,19000,5.364644,2557.112611
20000,20000,20000,6.141156,2605.372593
20000,20000,20000,6.378644,2508.370009
20000,20000,20000,6.151718,2600.899639
20000,20000,20000,6.157115,2598.619492
20000,20000,20000,6.236439,2565.566761
20000,20000,20000,6.152600,2600.526603
20000,20000,20000,6.150416,2601.449960
20000,20000,20000,6.193239,2583.462239
20000,20000,20000,6.208953,2576.924115
20000,20000,20000,6.219330,2572.624406
