m,k,n,time,GFLOPS
18000,18000,18000,7.082735,1646.821481
18000,18000,18000,7.077760,1647.979109
18000,18000,18000,7.060529,1652.000797
18000,18000,18000,7.049107,1654.677648
18000,18000,18000,7.086314,1645.989811
18000,18000,18000,7.083692,1646.599080
18000,18000,18000,7.090170,1645.094497
18000,18000,18000,7.069520,1649.899770
18000,18000,18000,7.070659,1649.634143
19000,19000,19000,8.181183,1676.774555
19000,19000,19000,8.225396,1667.761745
19000,19000,19000,8.116072,1690.226550
19000,19000,19000,8.376563,1637.664570
19000,19000,19000,8.120947,1689.211896
19000,19000,19000,8.136765,1685.928039
19000,19000,19000,8.064032,1701.134019
19000,19000,19000,8.190468,1674.873689
19000,19000,19000,8.165111,1680.075040
19000,19000,19000,8.191565,1674.649443
20000,20000,20000,9.580343,1670.086322
20000,20000,20000,9.531733,1678.603504
20000,20000,20000,9.485169,1686.843898
20000,20000,20000,9.560638,1673.528541
20000,20000,20000,9.560362,1673.576765
20000,20000,20000,9.801996,1632.320682
20000,20000,20000,9.568580,1672.139486
20000,20000,20000,9.521521,1680.403815
20000,20000,20000,9.508932,1682.628584
20000,20000,20000,9.495047,1685.089138
