m,k,n,time,GFLOPS
17000,17000,17000,6.195861,1585.897343
18000,18000,18000,7.361742,1584.407557
18000,18000,18000,7.360386,1584.699465
18000,18000,18000,7.361765,1584.402751
18000,18000,18000,7.360551,1584.664045
18000,18000,18000,7.362852,1584.168749
18000,18000,18000,7.361711,1584.414205
18000,18000,18000,7.362466,1584.251786
18000,18000,18000,7.360317,1584.714382
18000,18000,18000,7.416836,1572.638232
18000,18000,18000,7.358175,1585.175700
19000,19000,19000,8.678444,1580.698069
19000,19000,19000,8.696032,1577.501039
19000,19000,19000,8.696071,1577.494009
19000,19000,19000,8.706196,1575.659505
19000,19000,19000,8.706215,1575.655967
19000,19000,19000,8.707038,1575.507156
19000,19000,19000,8.687630,1579.026794
19000,19000,19000,8.695040,1577.681095
19000,19000,19000,8.705913,1575.710639
19000,19000,19000,8.682419,1579.974350
20000,20000,20000,10.180119,1571.690857
20000,20000,20000,10.178324,1571.967983
20000,20000,20000,10.174321,1572.586495
20000,20000,20000,10.170369,1573.197571
20000,20000,20000,10.173419,1572.725904
20000,20000,20000,10.143073,1577.431178
20000,20000,20000,10.171915,1572.958461
20000,20000,20000,10.167731,1573.605767
20000,20000,20000,10.174062,1572.626513
20000,20000,20000,10.149182,1576.481798
