m,k,n,time,GFLOPS
15000,15000,15000,1.797336,3755.558924
16000,16000,16000,2.226581,3679.184217
16000,16000,16000,2.143675,3821.474492
16000,16000,16000,2.188336,3743.483637
16000,16000,16000,2.214648,3699.007997
16000,16000,16000,2.195476,3731.308650
16000,16000,16000,2.145193,3818.771507
16000,16000,16000,2.151543,3807.499209
16000,16000,16000,2.150528,3809.296835
16000,16000,16000,2.179875,3758.014099
16000,16000,16000,2.193104,3735.344347
17000,17000,17000,2.652508,3704.418486
17000,17000,17000,2.629950,3736.192114
17000,17000,17000,2.566710,3828.247014
17000,17000,17000,2.588266,3796.363756
17000,17000,17000,2.638743,3723.742833
17000,17000,17000,2.589178,3795.026351
17000,17000,17000,2.619385,3751.262091
17000,17000,17000,2.550663,3852.331991
17000,17000,17000,2.653714,3702.734574
17000,17000,17000,2.571879,3820.552724
18000,18000,18000,3.017484,3865.471737
18000,18000,18000,3.011398,3873.284077
18000,18000,18000,3.053746,3819.571439
18000,18000,18000,3.047732,3827.108251
18000,18000,18000,3.089739,3775.076541
18000,18000,18000,3.121607,3736.536725
18000,18000,18000,3.123452,3734.329973
18000,18000,18000,3.029427,3850.233120
18000,18000,18000,3.052484,3821.150156
18000,18000,18000,3.026337,3854.164073
19000,19000,19000,3.607989,3802.118505
19000,19000,19000,3.580510,3831.298044
19000,19000,19000,3.610557,3799.413547
19000,19000,19000,3.625627,3783.621091
19000,19000,19000,3.661511,3746.540641
19000,19000,19000,3.503394,3915.631539
19000,19000,19000,3.535963,3879.565923
19000,19000,19000,3.631262,3777.750055
19000,19000,19000,3.566291,3846.573503
19000,19000,19000,3.512904,3905.031138
20000,20000,20000,4.282248,3736.355525
20000,20000,20000,4.224227,3787.675485
20000,20000,20000,4.145872,3859.260385
20000,20000,20000,4.275410,3742.330854
20000,20000,20000,4.139893,3864.834455
20000,20000,20000,4.308514,3713.577664
20000,20000,20000,4.231336,3781.312059
20000,20000,20000,4.137675,3866.905930
20000,20000,20000,4.248625,3765.924394
20000,20000,20000,4.293829,3726.278039
