m,k,n,time,GFLOPS
16000,16000,16000,3.823573,2142.498383
16000,16000,16000,3.815472,2147.047625
16000,16000,16000,3.791650,2160.537145
16000,16000,16000,3.955214,2071.189972
16000,16000,16000,3.878922,2111.927180
16000,16000,16000,3.822564,2143.064260
16000,16000,16000,3.920798,2089.370373
16000,16000,16000,3.974778,2060.995594
16000,16000,16000,3.882222,2110.131757
17000,17000,17000,4.500510,2183.307930
17000,17000,17000,4.546422,2161.259870
17000,17000,17000,4.575003,2147.758217
17000,17000,17000,4.612529,2130.284809
17000,17000,17000,4.604923,2133.803295
17000,17000,17000,4.524475,2171.743799
17000,17000,17000,4.589202,2141.113005
17000,17000,17000,4.647065,2114.452700
17000,17000,17000,4.562125,2153.821007
17000,17000,17000,4.603899,2134.277841
18000,18000,18000,5.288676,2205.466743
18000,18000,18000,5.640649,2067.847214
18000,18000,18000,5.459767,2136.354792
18000,18000,18000,5.395736,2161.707133
18000,18000,18000,5.375038,2170.031009
18000,18000,18000,5.330941,2187.981244
18000,18000,18000,5.406073,2157.573526
18000,18000,18000,5.439745,2144.218282
18000,18000,18000,5.276508,2210.552767
18000,18000,18000,5.420778,2151.720578
19000,19000,19000,5.970793,2297.517184
19000,19000,19000,6.044728,2269.415668
19000,19000,19000,6.201548,2212.028199
19000,19000,19000,6.083994,2254.768730
19000,19000,19000,6.081676,2255.628206
19000,19000,19000,6.172264,2222.523389
19000,19000,19000,6.051025,2267.053965
19000,19000,19000,6.097018,2249.952533
19000,19000,19000,5.992525,2289.185271
19000,19000,19000,6.079371,2256.483281
20000,20000,20000,7.082229,2259.175751
20000,20000,20000,7.000527,2285.542358
20000,20000,20000,7.169246,2231.754813
20000,20000,20000,7.045226,2271.041495
20000,20000,20000,7.063067,2265.304757
20000,20000,20000,7.129076,2244.330215
20000,20000,20000,7.059976,2266.296545
20000,20000,20000,7.022607,2278.356228
20000,20000,20000,7.261165,2203.503167
20000,20000,20000,7.060231,2266.214947
