m,k,n,time,GFLOPS
15000,15000,15000,2.498570,2701.545591
16000,16000,16000,2.843515,2880.941122
16000,16000,16000,2.820506,2904.443856
16000,16000,16000,2.808435,2916.927237
16000,16000,16000,2.847820,2876.586102
16000,16000,16000,2.821580,2903.338226
16000,16000,16000,2.833491,2891.132926
16000,16000,16000,2.827992,2896.754712
16000,16000,16000,2.823014,2901.862850
16000,16000,16000,2.790170,2936.022242
16000,16000,16000,2.849539,2874.851064
17000,17000,17000,3.352705,2930.767738
17000,17000,17000,3.355663,2928.184520
17000,17000,17000,3.324181,2955.915958
17000,17000,17000,3.378823,2908.112885
17000,17000,17000,3.356427,2927.518198
17000,17000,17000,3.389998,2898.527191
17000,17000,17000,3.356843,2927.155377
17000,17000,17000,3.392237,2896.613436
17000,17000,17000,3.323488,2956.532625
17000,17000,17000,3.321157,2958.607322
18000,18000,18000,3.894257,2995.179929
18000,18000,18000,3.845356,3033.269071
18000,18000,18000,4.151619,2809.506102
18000,18000,18000,4.213068,2768.528728
18000,18000,18000,3.806882,3063.924463
18000,18000,18000,4.097404,2846.680238
18000,18000,18000,4.001498,2914.908097
18000,18000,18000,4.002518,2914.165396
18000,18000,18000,3.887713,3000.221233
18000,18000,18000,3.912996,2980.836002
19000,19000,19000,4.973325,2758.315595
19000,19000,19000,4.780552,2869.543067
19000,19000,19000,5.054935,2713.783463
19000,19000,19000,4.873303,2814.928595
19000,19000,19000,5.069847,2705.801631
19000,19000,19000,4.824790,2843.232543
19000,19000,19000,5.004188,2741.304133
19000,19000,19000,4.923282,2786.352408
19000,19000,19000,4.829154,2840.662905
19000,19000,19000,4.950224,2771.187998
20000,20000,20000,5.475416,2922.152558
20000,20000,20000,5.263487,3039.809753
20000,20000,20000,5.495306,2911.575936
20000,20000,20000,5.652347,2830.682406
20000,20000,20000,5.364674,2982.473803
20000,20000,20000,5.556656,2879.429480
20000,20000,20000,5.606731,2853.713010
20000,20000,20000,5.422062,2950.906860
20000,20000,20000,5.616843,2848.575470
20000,20000,20000,5.587254,2863.660625
