cores,m,k,n,time,GFLOPS
31,10000,10000,10000,1.840838,1086.461437
31,10000,10000,10000,1.836425,1089.072734
31,10000,10000,10000,1.854961,1078.190039
31,10000,10000,10000,1.858236,1076.289812
31,10000,10000,10000,1.846695,1083.015875
32,10000,10000,10000,1.613660,1239.418301
32,10000,10000,10000,1.616136,1237.519688
32,10000,10000,10000,1.588532,1259.024011
32,10000,10000,10000,1.601859,1248.549448
32,10000,10000,10000,1.606041,1245.298155
33,10000,10000,10000,1.810887,1104.430945
33,10000,10000,10000,1.818179,1100.001565
33,10000,10000,10000,1.828478,1093.805950
33,10000,10000,10000,1.827552,1094.360346
33,10000,10000,10000,1.838353,1087.930416
34,10000,10000,10000,1.620615,1234.099670
34,10000,10000,10000,1.613676,1239.405841
34,10000,10000,10000,1.621575,1233.368547
34,10000,10000,10000,1.633389,1224.448282
34,10000,10000,10000,1.617725,1236.304404
35,10000,10000,10000,1.758130,1137.572085
35,10000,10000,10000,1.858809,1075.957930
35,10000,10000,10000,1.788287,1118.388955
35,10000,10000,10000,1.929055,1036.777141
35,10000,10000,10000,1.804819,1108.144261
36,10000,10000,10000,1.621195,1233.657776
36,10000,10000,10000,1.628105,1228.421749
36,10000,10000,10000,1.629004,1227.743840
36,10000,10000,10000,1.626805,1229.403863
36,10000,10000,10000,1.616695,1237.091750
37,10000,10000,10000,1.759484,1136.696895
37,10000,10000,10000,1.759264,1136.838925
37,10000,10000,10000,1.781314,1122.766596
37,10000,10000,10000,1.771133,1129.220582
37,10000,10000,10000,1.769417,1130.315731
38,10000,10000,10000,1.583022,1263.406285
38,10000,10000,10000,1.558134,1283.586253
38,10000,10000,10000,1.579324,1266.364455
38,10000,10000,10000,1.581496,1264.625698
38,10000,10000,10000,1.591664,1256.546895
39,10000,10000,10000,1.743252,1147.281043
39,10000,10000,10000,1.745958,1145.503234
39,10000,10000,10000,1.691217,1182.580360
39,10000,10000,10000,1.692640,1181.586180
39,10000,10000,10000,1.718225,1163.991624
40,10000,10000,10000,1.572721,1271.681771
40,10000,10000,10000,1.552461,1288.277496
40,10000,10000,10000,1.567127,1276.220886
40,10000,10000,10000,1.560716,1281.463461
40,10000,10000,10000,1.571624,1272.568835
41,10000,10000,10000,1.664666,1201.442312
41,10000,10000,10000,1.652266,1210.458683
41,10000,10000,10000,1.671204,1196.742052
41,10000,10000,10000,1.634317,1223.752669
41,10000,10000,10000,1.673233,1195.290895
42,10000,10000,10000,1.503146,1330.542699
42,10000,10000,10000,1.494162,1338.543153
42,10000,10000,10000,1.502592,1331.033377
42,10000,10000,10000,1.471183,1359.449867
42,10000,10000,10000,1.470247,1360.315890
43,10000,10000,10000,1.736696,1151.612216
43,10000,10000,10000,1.698762,1177.327683
43,10000,10000,10000,1.706278,1172.141988
43,10000,10000,10000,1.725376,1159.167551
43,10000,10000,10000,1.725523,1159.069064
44,10000,10000,10000,1.510780,1323.819086
44,10000,10000,10000,1.503598,1330.143006
44,10000,10000,10000,1.520608,1315.263744
44,10000,10000,10000,1.488517,1343.619525
44,10000,10000,10000,1.560793,1281.399539
45,10000,10000,10000,1.674106,1194.667738
45,10000,10000,10000,1.683407,1188.067013
45,10000,10000,10000,1.606009,1245.323354
45,10000,10000,10000,1.618031,1236.070131
45,10000,10000,10000,1.671372,1196.621484
46,10000,10000,10000,1.510573,1324.000572
46,10000,10000,10000,1.483949,1347.755014
46,10000,10000,10000,1.518080,1317.454001
46,10000,10000,10000,1.497819,1335.274885
46,10000,10000,10000,1.502076,1331.490993
47,10000,10000,10000,1.570373,1273.583157
47,10000,10000,10000,1.631698,1225.716719
47,10000,10000,10000,1.610282,1242.018258
47,10000,10000,10000,1.663332,1202.405710
47,10000,10000,10000,1.604952,1246.143487
48,10000,10000,10000,1.534874,1303.038701
48,10000,10000,10000,1.516734,1318.622559
48,10000,10000,10000,1.545118,1294.399806
48,10000,10000,10000,1.515489,1319.705671
48,10000,10000,10000,1.532064,1305.428890
49,10000,10000,10000,1.609048,1242.971304
49,10000,10000,10000,1.581166,1264.889700
49,10000,10000,10000,1.608132,1243.679380
49,10000,10000,10000,1.626444,1229.676580
49,10000,10000,10000,1.638209,1220.845710
50,10000,10000,10000,1.483678,1348.001804
50,10000,10000,10000,1.472496,1358.237833
50,10000,10000,10000,1.552385,1288.339972
50,10000,10000,10000,1.480449,1350.941055
50,10000,10000,10000,1.457881,1371.854244
51,10000,10000,10000,1.523428,1312.828483
51,10000,10000,10000,1.606068,1245.276980
51,10000,10000,10000,1.624663,1231.024795
51,10000,10000,10000,1.575499,1269.438960
51,10000,10000,10000,1.542290,1296.773148
52,10000,10000,10000,1.506339,1327.722225
52,10000,10000,10000,1.470368,1360.203792
52,10000,10000,10000,1.502805,1330.844613
52,10000,10000,10000,1.517509,1317.949123
52,10000,10000,10000,1.510107,1324.409328
53,10000,10000,10000,1.582010,1264.214884
53,10000,10000,10000,1.597658,1251.832229
53,10000,10000,10000,1.663379,1202.371680
53,10000,10000,10000,1.545863,1293.776036
53,10000,10000,10000,1.570955,1273.110959
54,10000,10000,10000,1.514149,1320.873755
54,10000,10000,10000,1.505867,1328.138425
54,10000,10000,10000,1.518835,1316.798836
54,10000,10000,10000,1.511917,1322.823667
54,10000,10000,10000,1.470437,1360.139965
55,10000,10000,10000,1.556115,1285.252387
55,10000,10000,10000,1.624986,1230.779651
55,10000,10000,10000,1.557981,1283.712812
55,10000,10000,10000,1.554760,1286.372244
55,10000,10000,10000,1.542172,1296.872328
56,10000,10000,10000,1.496733,1336.243456
56,10000,10000,10000,1.485008,1346.793692
56,10000,10000,10000,1.496965,1336.036747
56,10000,10000,10000,1.484143,1347.579467
56,10000,10000,10000,1.486444,1345.492889
57,10000,10000,10000,1.493888,1338.788665
57,10000,10000,10000,1.538142,1300.269867
57,10000,10000,10000,1.501457,1332.039530
57,10000,10000,10000,1.628840,1227.867932
57,10000,10000,10000,1.551692,1288.915459
58,10000,10000,10000,1.477858,1353.310291
58,10000,10000,10000,1.488513,1343.622720
58,10000,10000,10000,1.528544,1308.434841
58,10000,10000,10000,1.527335,1309.470703
58,10000,10000,10000,1.475626,1355.357267
