size,cores,time
10000,64,1.165555
10000,65,1.179859
10000,65,1.142742
10000,65,1.174583
10000,65,1.174525
10000,65,1.169342
10000,66,1.139003
10000,66,1.128255
10000,66,1.178567
10000,66,1.161293
10000,66,1.166368
10000,67,1.124666
10000,67,1.150602
10000,67,1.154097
10000,67,1.161340
10000,67,1.166994
10000,68,1.104782
10000,68,1.153450
10000,68,1.121775
10000,68,1.161550
10000,68,1.154165
10000,69,1.129346
10000,69,1.089133
10000,69,1.071889
10000,69,1.111953
10000,69,1.130142
10000,70,1.134017
10000,70,1.117386
10000,70,1.135341
10000,70,1.126520
10000,70,1.096352
10000,71,1.044453
10000,71,1.059314
10000,71,1.088186
10000,71,1.026018
10000,71,1.101836
10000,72,1.042104
10000,72,1.079842
10000,72,1.085951
10000,72,1.096120
10000,72,1.082461
10000,73,1.103464
10000,73,1.079191
10000,73,1.095431
10000,73,1.013062
10000,73,1.039592
10000,74,1.015913
10000,74,1.066498
10000,74,1.086829
10000,74,1.073819
10000,74,1.067441
10000,75,1.068190
10000,75,1.107327
10000,75,1.066614
10000,75,1.033728
10000,75,1.078989
10000,76,1.029857
10000,76,0.976519
10000,76,0.989310
10000,76,1.049566
10000,76,1.068042
10000,77,1.059354
10000,77,1.058741
10000,77,1.010774
10000,77,0.965343
10000,77,0.964482
10000,78,1.010489
10000,78,1.015330
10000,78,1.081522
10000,78,1.054441
10000,78,1.024316
10000,79,0.947208
10000,79,1.006133
10000,79,0.990008
10000,79,1.013029
10000,79,1.004580
10000,80,1.058724
10000,80,0.985464
10000,80,0.960231
10000,80,0.995038
10000,80,1.056306
10000,81,0.967082
10000,81,0.981978
10000,81,0.989399
10000,81,0.993910
10000,81,1.024286
10000,82,1.000594
10000,82,1.009658
10000,82,1.045392
10000,82,0.968815
10000,82,1.037982
10000,83,1.044037
10000,83,1.044518
10000,83,1.008871
10000,83,0.982356
10000,83,0.937932
10000,84,1.022096
10000,84,0.979338
10000,84,1.002763
10000,84,1.038406
10000,84,0.999741
10000,85,0.924427
10000,85,0.927539
10000,85,1.016538
10000,85,1.031830
10000,85,0.914545
10000,86,0.962970
10000,86,1.022218
10000,86,0.978574
10000,86,1.035924
10000,86,0.949333
10000,87,0.934899
10000,87,0.997713
10000,87,0.974925
10000,87,0.940807
10000,87,1.014969
10000,88,0.975910
10000,88,0.940301
10000,88,1.010170
10000,88,0.910939
10000,88,0.988916
10000,89,0.905617
10000,89,1.008793
10000,89,0.981262
10000,89,0.961197
10000,89,1.008793
10000,90,0.916208
10000,90,0.999180
10000,90,0.984967
10000,90,0.880333
10000,90,0.988863
10000,91,0.931550
10000,91,0.949364
10000,91,0.988183
10000,91,0.968818
10000,91,0.984971
10000,92,0.957609
10000,92,0.926888
10000,92,0.963558
10000,92,0.889257
10000,92,0.949993
10000,93,0.949639
10000,93,0.951279
10000,93,0.986796
10000,93,0.897595
10000,93,0.956305
10000,94,0.972125
10000,94,0.974148
10000,94,0.951258
10000,94,1.005602
10000,94,0.954225
10000,95,0.980285
10000,95,0.971009
10000,95,0.916849
10000,95,0.957893
10000,95,0.933720
10000,96,0.893073
10000,96,0.971342
10000,96,0.993965
10000,96,0.966318
10000,96,1.078392
10000,97,0.972396
10000,97,0.920851
10000,97,0.978631
10000,97,0.955861
10000,97,0.990381
10000,98,0.864728
10000,98,0.876002
10000,98,0.955461
10000,98,0.930628
10000,98,0.871705
10000,99,0.842988
10000,99,0.966868
10000,99,0.878089
10000,99,0.891407
10000,99,0.927977
10000,100,0.878993
10000,100,0.876687
10000,100,0.876022
10000,100,0.901517
10000,100,0.945210
10000,101,0.964612
10000,101,0.946785
10000,101,0.888356
10000,101,1.061894
10000,101,0.947695
10000,102,0.861095
10000,102,0.923450
10000,102,0.907005
10000,102,0.879018
10000,102,0.860242
10000,103,1.013059
10000,103,0.953997
10000,103,0.957972
10000,103,0.941595
10000,103,0.950874
10000,104,0.956472
10000,104,0.939175
10000,104,0.824455
10000,104,0.954741
10000,104,1.044023
10000,105,0.840287
