size,cores,time
10000,32,2.127149
10000,33,2.020147
10000,33,2.011961
10000,33,1.948132
10000,33,2.100204
10000,33,1.980035
10000,33,1.954242
10000,33,2.010143
10000,33,2.155189
10000,33,1.974544
10000,33,1.991965
10000,34,1.910307
10000,34,2.002898
10000,34,1.958262
10000,34,1.902087
10000,34,1.921762
10000,34,2.054302
10000,34,1.954577
10000,34,1.921190
10000,34,1.974507
10000,34,2.064893
10000,35,1.912800
10000,35,1.885479
10000,35,1.889134
10000,35,1.962722
10000,35,1.923510
10000,35,1.868598
10000,35,1.861721
10000,35,1.868586
10000,35,1.856848
10000,35,1.850841
10000,36,1.837340
10000,36,1.807103
10000,36,1.834607
10000,36,1.833868
10000,36,1.867582
10000,36,1.863100
10000,36,1.810365
10000,36,1.819817
10000,36,1.829999
10000,36,1.958543
10000,37,1.817449
10000,37,1.830550
10000,37,1.760084
10000,37,1.774318
10000,37,1.789240
10000,37,1.798530
10000,37,1.836598
10000,37,1.778892
10000,37,1.805752
10000,37,1.794328
10000,38,1.735451
10000,38,1.730334
10000,38,1.751006
10000,38,1.734336
10000,38,1.751945
10000,38,1.753634
10000,38,1.714335
10000,38,1.751976
10000,38,1.751777
10000,38,1.751987
10000,39,1.728425
10000,39,1.743759
10000,39,1.715554
10000,39,1.712065
10000,39,1.718498
10000,39,1.755460
10000,39,1.720270
10000,39,1.692952
10000,39,1.710268
10000,39,1.723566
10000,40,1.690587
10000,40,1.647845
10000,40,1.661664
10000,40,1.669431
10000,40,1.683300
10000,40,1.647983
10000,40,1.678606
10000,40,1.675685
10000,40,1.643424
10000,40,1.674725
10000,41,1.654488
10000,41,1.644947
10000,41,1.663588
10000,41,1.642037
10000,41,1.639812
10000,41,1.657508
10000,41,1.658775
10000,41,1.620253
10000,41,1.640746
10000,41,1.622191
10000,42,1.637058
10000,42,1.611496
10000,42,1.612831
10000,42,1.615550
10000,42,1.626934
10000,42,1.625049
10000,42,1.622297
10000,42,1.592826
10000,42,1.609249
10000,42,1.596624
10000,43,1.568264
10000,43,1.586842
10000,43,1.594553
10000,43,1.561060
10000,43,1.588314
10000,43,1.568382
10000,43,1.598694
10000,43,1.574465
10000,43,1.581728
10000,43,1.565039
10000,44,1.569507
10000,44,1.587081
10000,44,1.518328
10000,44,1.529866
10000,44,1.557405
10000,44,1.555358
10000,44,1.546001
10000,44,1.544575
10000,44,1.565628
10000,44,1.560978
10000,45,1.503609
10000,45,1.512340
10000,45,1.521611
10000,45,1.511242
10000,45,1.515801
10000,45,1.515216
10000,45,1.491149
10000,45,1.529490
10000,45,1.519250
10000,45,1.502743
10000,46,1.467807
10000,46,1.487737
10000,46,1.459015
10000,46,1.519566
10000,46,1.454077
10000,46,1.472796
10000,46,1.516209
10000,46,1.479659
