size,threads,cores,time
10000,108,54,2.361223
10000,108,54,2.443787
10000,108,54,2.405344
10000,108,54,2.439318
10000,108,54,2.395365
10000,110,55,2.348367
10000,110,55,2.337213
10000,110,55,2.356103
10000,110,55,2.441104
10000,110,55,2.363611
10000,112,56,2.292820
10000,112,56,2.322580
10000,112,56,2.326545
10000,112,56,2.322515
10000,112,56,2.321168
10000,114,57,2.243995
10000,114,57,2.297506
10000,114,57,2.321800
10000,114,57,2.255934
10000,114,57,2.333572
10000,116,58,2.302868
10000,116,58,2.276954
10000,116,58,2.238596
10000,116,58,2.219951
10000,116,58,2.210307
10000,118,59,2.232786
10000,118,59,2.177454
10000,118,59,2.226238
10000,118,59,2.237129
10000,118,59,2.211592
10000,120,60,2.170814
10000,120,60,2.209126
10000,120,60,2.176336
10000,120,60,2.163886
10000,120,60,2.195353
10000,122,61,2.144594
10000,122,61,2.138684
10000,122,61,2.141202
10000,122,61,2.176729
10000,122,61,2.155013
10000,124,62,2.098424
10000,124,62,2.161180
10000,124,62,2.154195
10000,124,62,2.148425
10000,124,62,2.101158
10000,126,63,2.085933
10000,126,63,2.133687
10000,126,63,2.099627
10000,126,63,2.121064
10000,126,63,2.123225
10000,128,64,2.117768
10000,128,64,2.108354
10000,128,64,2.047822
10000,128,64,2.116094
10000,128,64,2.058959
10000,130,65,2.025056
10000,130,65,2.073602
10000,130,65,2.026138
10000,130,65,2.038340
10000,130,65,2.078149
10000,132,66,2.001334
10000,132,66,2.100300
10000,132,66,1.993002
10000,132,66,2.032664
10000,132,66,2.041905
10000,134,67,2.040626
10000,134,67,1.978571
10000,134,67,2.025683
10000,134,67,2.000953
10000,134,67,1.968511
10000,136,68,2.019856
10000,136,68,2.011284
10000,136,68,2.025390
10000,136,68,2.016338
10000,136,68,1.984532
10000,138,69,1.997167
10000,138,69,1.936483
10000,138,69,2.000232
10000,138,69,1.956496
10000,138,69,1.935740
10000,140,70,1.926406
10000,140,70,1.894687
10000,140,70,1.936598
10000,140,70,1.997723
10000,140,70,1.944534
10000,142,71,1.854105
10000,142,71,1.945566
