size,cores,time
1000,1,1.134767
1000,1,1.133895
1000,1,1.134288
1000,1,1.134651
1000,1,1.133389
1000,2,0.602440
1000,2,0.603498
1000,2,0.602461
1000,2,0.603120
1000,2,0.602733
1000,3,0.416250
1000,3,0.415933
1000,3,0.416016
1000,3,0.415767
1000,3,0.416264
1000,4,0.321727
1000,4,0.320652
1000,4,0.323207
1000,4,0.322607
1000,4,0.322270
1000,5,0.269012
1000,5,0.266955
1000,5,0.269458
1000,5,0.268505
1000,5,0.268494
1000,6,0.228966
1000,6,0.229709
1000,6,0.231091
1000,6,0.230811
1000,6,0.232550
1000,7,0.204988
1000,7,0.203871
1000,7,0.203215
1000,7,0.204123
1000,7,0.203300
1000,8,0.185622
1000,8,0.185538
1000,8,0.185093
1000,8,0.185628
1000,8,0.184378
1000,9,0.168395
1000,9,0.168742
1000,9,0.169426
1000,9,0.168794
1000,9,0.168450
1000,10,0.154193
1000,10,0.155419
1000,10,0.158544
1000,10,0.154203
1000,10,0.153680
1000,11,0.143577
1000,11,0.143121
1000,11,0.144742
1000,11,0.143436
1000,11,0.144012
1000,12,0.138243
1000,12,0.136830
1000,12,0.135857
1000,12,0.138705
1000,12,0.134894
1000,13,0.127552
1000,13,0.129135
1000,13,0.128479
1000,13,0.126888
1000,13,0.127346
1000,14,0.122864
1000,14,0.121638
1000,14,0.121998
1000,14,0.121720
1000,14,0.122634
1000,15,0.116068
1000,15,0.116894
1000,15,0.116595
1000,15,0.116160
1000,15,0.116428
1000,16,0.111771
1000,16,0.112244
1000,16,0.112078
1000,16,0.112355
1000,16,0.113834
1000,17,0.111425
1000,17,0.109855
1000,17,0.109321
1000,17,0.107759
1000,17,0.109152
1000,18,0.104390
1000,18,0.105095
1000,18,0.105032
1000,18,0.104891
1000,18,0.106811
1000,19,0.100819
1000,19,0.101487
1000,19,0.101606
1000,19,0.100713
1000,19,0.101622
1000,20,0.102105
1000,20,0.098149
1000,20,0.097743
1000,20,0.098864
1000,20,0.098442
1000,21,0.096662
1000,21,0.094956
1000,21,0.098528
1000,21,0.094886
1000,21,0.096183
1000,22,0.094526
1000,22,0.095066
1000,22,0.093553
1000,22,0.092607
1000,22,0.092729
1000,23,0.090058
1000,23,0.091540
1000,23,0.090345
1000,23,0.092112
1000,23,0.091163
1000,24,0.087806
1000,24,0.088798
1000,24,0.088359
1000,24,0.088023
1000,24,0.088423
1000,25,0.086769
1000,25,0.085888
1000,25,0.087364
1000,25,0.085832
1000,25,0.086316
1000,26,0.084985
1000,26,0.084946
1000,26,0.084420
1000,26,0.083923
1000,26,0.084443
1000,27,0.083172
1000,27,0.084307
1000,27,0.082060
1000,27,0.082848
1000,27,0.082801
1000,28,0.081211
1000,28,0.081517
1000,28,0.081837
1000,28,0.081296
1000,28,0.081565
1000,29,0.080553
1000,29,0.080279
1000,29,0.080336
1000,29,0.081858
1000,29,0.080060
1000,30,0.080654
1000,30,0.079507
1000,30,0.079360
1000,30,0.079461
1000,30,0.079643
1000,31,0.078647
1000,31,0.078167
1000,31,0.078265
1000,31,0.078507
1000,31,0.077690
1000,32,0.077350
1000,32,0.077069
1000,32,0.078004
1000,32,0.078565
1000,32,0.077880
1000,33,0.074948
1000,33,0.075614
1000,33,0.076608
1000,33,0.075507
1000,33,0.075913
1000,34,0.074812
1000,34,0.077012
1000,34,0.075257
1000,34,0.075857
1000,34,0.075397
1000,35,0.073036
1000,35,0.073608
1000,35,0.075871
1000,35,0.073996
1000,35,0.073534
1000,36,0.072297
1000,36,0.072329
1000,36,0.071685
1000,36,0.071995
1000,36,0.072792
1000,37,0.070115
1000,37,0.070184
1000,37,0.070037
1000,37,0.069576
1000,37,0.070131
1000,38,0.071437
1000,38,0.070441
1000,38,0.070017
1000,38,0.070517
1000,38,0.069928
1000,39,0.067516
1000,39,0.067879
1000,39,0.070359
1000,39,0.070047
1000,39,0.068459
1000,40,0.068341
1000,40,0.067208
1000,40,0.065674
1000,40,0.065192
1000,40,0.068720
1000,41,0.065773
1000,41,0.065510
1000,41,0.066922
1000,41,0.066354
1000,41,0.065904
1000,42,0.063791
1000,42,0.064406
1000,42,0.067572
1000,42,0.063545
1000,42,0.064812
1000,43,0.066043
1000,43,0.063748
1000,43,0.064556
1000,43,0.064065
1000,43,0.064131
1000,44,0.062442
1000,44,0.062518
1000,44,0.062462
1000,44,0.062705
1000,44,0.062592
1000,45,0.061444
1000,45,0.062968
1000,45,0.062711
1000,45,0.062729
1000,45,0.062600
1000,46,0.060770
1000,46,0.060167
1000,46,0.060232
1000,46,0.060927
1000,46,0.060039
1000,47,0.060614
1000,47,0.060308
1000,47,0.060745
1000,47,0.060316
1000,47,0.060568
1000,48,0.058723
1000,48,0.058868
1000,48,0.058911
1000,48,0.059758
1000,48,0.058503
1000,49,0.060005
1000,49,0.060305
1000,49,0.058617
1000,49,0.058161
1000,49,0.058029
1000,50,0.056820
1000,50,0.057016
1000,50,0.061544
1000,50,0.057167
1000,50,0.057223
1000,51,0.057207
1000,51,0.057752
1000,51,0.057455
1000,51,0.057773
1000,51,0.057305
1000,52,0.057744
1000,52,0.056970
1000,52,0.058605
1000,52,0.057473
1000,52,0.057029
1000,53,0.055535
1000,53,0.055640
1000,53,0.055622
1000,53,0.055859
1000,53,0.055577
1000,54,0.054880
1000,54,0.055112
1000,54,0.054680
1000,54,0.055397
1000,54,0.054728
1000,55,0.055039
1000,55,0.055331
1000,55,0.054547
1000,55,0.055332
1000,55,0.054826
1000,56,0.054287
1000,56,0.054754
1000,56,0.053975
1000,56,0.052917
1000,56,0.056008
1000,57,0.053832
1000,57,0.053790
1000,57,0.054672
1000,57,0.053805
1000,57,0.053586
1000,58,0.054618
1000,58,0.054540
1000,58,0.052889
1000,58,0.053786
1000,58,0.054375
1000,59,0.051066
1000,59,0.050428
1000,59,0.051536
1000,59,0.052170
1000,59,0.050904
1000,60,0.052196
1000,60,0.051256
1000,60,0.051918
1000,60,0.051744
1000,60,0.055893
1000,61,0.050806
1000,61,0.050916
1000,61,0.051688
1000,61,0.050760
1000,61,0.051258
1000,62,0.051392
1000,62,0.051677
1000,62,0.051587
1000,62,0.051358
1000,62,0.051639
1000,63,0.048022
1000,63,0.049245
1000,63,0.048696
1000,63,0.047655
1000,63,0.048429
1000,64,0.048244
1000,64,0.048478
1000,64,0.048334
1000,64,0.048595
1000,64,0.049014
